id,,datetime,speed,vehicle_distance,deviate
1,s,2016/8/5 10:00,50,20,0
2,s,2016/8/5 10:00,50,20,0
3,s,2016/8/5 10:00,50,20,0
4,s,2016/8/5 10:00,50,20,0
5,s,2016/8/5 10:00,50,20,0
6,s,2016/8/5 10:00,50,20,0
7,s,2016/8/5 10:00,50,20,0
8,s,2016/8/5 10:00,50,20,0
9,s,2016/8/5 10:00,50,20,0
10,s,2016/8/5 10:00,50,20,0
11,s,2016/8/5 10:00,50,20,0
12,s,2016/8/5 10:00,50,20,0
13,s,2016/8/5 10:00,50,20,0
14,s,2016/8/5 10:00,50,20,0
15,s,2016/8/5 10:00,50,20,0
16,s,2016/8/5 10:00,50,20,0
17,s,2016/8/5 10:00,50,20,0
18,s,2016/8/5 10:00,50,20,0
19,s,2016/8/5 10:00,50,20,0
20,s,2016/8/5 10:00,50,20,0
21,s,2016/8/5 10:00,50,20,0
22,s,2016/8/5 10:00,50,20,0
23,s,2016/8/5 10:00,50,20,0
24,,2016/8/5 10:00,50,20,0
25,,2016/8/5 10:00,50,20,0
26,,2016/8/5 10:00,50,20,0
27,,2016/8/5 10:00,50,20,0
28,,2016/8/5 10:00,50,20,0
29,,2016/8/5 10:00,50,20,0
30,,2016/8/5 10:00,50,20,0
31,,2016/8/5 10:00,50,20,0
32,,2016/8/5 10:00,50,20,0
33,,2016/8/5 10:00,50,20,0
34,,2016/8/5 10:00,50,20,0
35,,2016/8/5 10:00,50,20,0
36,,2016/8/5 10:00,50,20,0
37,,2016/8/5 10:00,50,20,0
38,,2016/8/5 10:00,50,20,0
39,,2016/8/5 10:00,50,20,0
40,,2016/8/5 10:00,50,20,0
41,,2016/8/5 10:00,50,20,0
42,,2016/8/5 10:00,50,20,0
43,,2016/8/5 10:00,50,20,0
44,,2016/8/5 10:00,50,20,0
45,,2016/8/5 10:00,50,20,0
46,,2016/8/5 10:00,50,20,0
47,,2016/8/5 10:00,50,20,0
48,,2016/8/5 10:00,50,20,0
49,,2016/8/5 10:00,50,20,0
50,,2016/8/5 10:00,50,20,0
51,,2016/8/5 10:00,50,20,0
52,,2016/8/5 10:00,50,20,0
53,,2016/8/5 10:00,50,20,0
54,,2016/8/5 10:00,50,20,0
55,,2016/8/5 10:00,50,20,0
56,,2016/8/5 10:00,50,19,0
57,,2016/8/5 10:00,50,18,0
58,,2016/8/5 10:00,50,17,0
59,,2016/8/5 10:00,50,16,0
60,,2016/8/5 10:00,50,15,0
61,,2016/8/5 10:00,50,14,0
62,,2016/8/5 10:00,50,13,0
63,,2016/8/5 10:00,50,12,0
64,,2016/8/5 10:00,50,11,0
65,,2016/8/5 10:00,50,10,0
66,,2016/8/5 10:00,50,9,0
67,,2016/8/5 10:00,50,8,0
68,,2016/8/5 10:00,50,7,0
69,,2016/8/5 10:00,50,6,0
70,,2016/8/5 10:00,50,5,0
71,,2016/8/5 10:00,50,4,0
72,,2016/8/5 10:00,50,3,0
73,,2016/8/5 10:00,50,3,0
74,,2016/8/5 10:00,50,3,0
75,,2016/8/5 10:00,50,3,0
76,,2016/8/5 10:00,50,3,0
77,,2016/8/5 10:00,50,3,0
78,,2016/8/5 10:00,50,3,0
79,,2016/8/5 10:00,50,4,0
80,,2016/8/5 10:00,50,5,0
81,,2016/8/5 10:00,50,6,0
82,,2016/8/5 10:00,50,7,0
83,,2016/8/5 10:00,50,8,0
84,,2016/8/5 10:00,50,9,0
85,,2016/8/5 10:00,50,10,0
86,,2016/8/5 10:00,50,11,0
87,,2016/8/5 10:00,50,12,0
88,,2016/8/5 10:00,50,13,0
89,,2016/8/5 10:00,50,14,0
90,,2016/8/5 10:00,50,15,0
91,,2016/8/5 10:00,50,16,0
92,,2016/8/5 10:00,50,17,0
93,,2016/8/5 10:00,50,18,0
94,,2016/8/5 10:00,50,19,0
95,,2016/8/5 10:00,50,20,0
96,,2016/8/5 10:00,50,21,0
97,,2016/8/5 10:00,50,20,0
98,,2016/8/5 10:00,50,20,0
99,,2016/8/5 10:00,50,20,0
100,,2016/8/5 10:00,50,20,0
101,,2016/8/5 10:00,50,20,0
102,,2016/8/5 10:00,50,20,0
103,,2016/8/5 10:00,50,20,0
104,,2016/8/5 10:00,50,20,0
105,,2016/8/5 10:00,50,20,0
106,,2016/8/5 10:00,50,20,0
107,,2016/8/5 10:00,50,20,0
108,,2016/8/5 10:00,50,20,0
109,,2016/8/5 10:00,50,20,0
110,,2016/8/5 10:00,50,20,0
111,,2016/8/5 10:00,50,20,0
112,,2016/8/5 10:00,50,20,0
113,,2016/8/5 10:00,50,20,0
114,,2016/8/5 10:00,50,20,0
115,,2016/8/5 10:00,50,20,0
116,,2016/8/5 10:00,50,20,0
117,,2016/8/5 10:00,50,20,0
118,,2016/8/5 10:00,50,20,0
119,,2016/8/5 10:00,50,20,0
120,,2016/8/5 10:00,50,20,0
121,,2016/8/5 10:00,50,20,0
122,,2016/8/5 10:00,50,20,0
123,,2016/8/5 10:00,50,20,0
124,,2016/8/5 10:00,50,20,0
125,,2016/8/5 10:00,50,20,0
126,,2016/8/5 10:00,50,20,0
127,,2016/8/5 10:00,50,20,0
128,,2016/8/5 10:00,50,20,0
129,,2016/8/5 10:00,50,20,0
130,,2016/8/5 10:00,50,20,0
131,,2016/8/5 10:00,50,20,0
132,,2016/8/5 10:00,50,20,0
133,,2016/8/5 10:00,50,20,0
134,,2016/8/5 10:00,50,20,0
135,,2016/8/5 10:00,50,20,0
136,,2016/8/5 10:00,50,20,0
137,,2016/8/5 10:00,50,20,0
138,,2016/8/5 10:00,50,20,0
139,,2016/8/5 10:00,50,20,0
140,,2016/8/5 10:00,50,20,0
141,,2016/8/5 10:00,50,20,0
142,,2016/8/5 10:00,50,20,0
143,,2016/8/5 10:00,50,20,0
144,,2016/8/5 10:00,50,20,0
145,,2016/8/5 10:00,50,20,0
146,,2016/8/5 10:00,50,20,0
147,,2016/8/5 10:00,50,20,0
148,,2016/8/5 10:00,50,20,0
149,,2016/8/5 10:00,50,20,0
150,,2016/8/5 10:00,50,20,0
151,,2016/8/5 10:00,50,20,0
152,,2016/8/5 10:00,50,20,0
153,,2016/8/5 10:00,50,20,0
154,,2016/8/5 10:00,50,20,0
155,,2016/8/5 10:00,50,20,0
156,,2016/8/5 10:00,50,20,0
157,,2016/8/5 10:00,50,20,0
158,,2016/8/5 10:00,50,20,0
159,,2016/8/5 10:00,50,20,0
160,,2016/8/5 10:00,50,20,0
161,,2016/8/5 10:00,50,20,0
162,,2016/8/5 10:00,50,20,0
163,,2016/8/5 10:00,50,20,0
164,,2016/8/5 10:00,50,20,0
